State,BoreholeName,BoreholeURI,x,y,countSum,Length,TsgLink
wa,05GJD001,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/05GJD001,118.9636,-33.7219,266,166.0,https://nvclstore.z8.web.core.windows.net/WA/05GJD001.zip
wa,05KCD001,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/05KCD001,118.9696,-33.7236,297,142.0,https://nvclstore.z8.web.core.windows.net/WA/05KCD001.zip
wa,09DKRCD001A,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/09DKRCD001A,118.5704738,-27.10433525,16,279.4,https://nvclstore.z8.web.core.windows.net/WA/09DKRCD001A.zip
wa,09FKRCD001,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/09FKRCD001,118.5627091,-27.11355068,1145,228.2,https://nvclstore.z8.web.core.windows.net/WA/09FKRCD001.zip
wa,09HBRCD001,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/09HBRCD001,118.5185588,-27.12663047,95,328.2,https://nvclstore.z8.web.core.windows.net/WA/09HBRCD001.zip
wa,10CHD006,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/10CHD006,118.6923395,-26.97171978,1309,195.4,https://nvclstore.z8.web.core.windows.net/WA/10CHD006.zip
wa,10KRD04,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/10KRD04,122.1313807,-22.36471815,401,154.8,
wa,10KRD06,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/10KRD06,122.1093501,-22.34384874,439,205.5,
wa,10LAD009,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/10LAD009,118.6798259,-26.96194294,1364,247.0,https://nvclstore.z8.web.core.windows.net/WA/10LAD009.zip
wa,10TJD001,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/10TJD001,118.6492206,-27.05635786,406,340.0,https://nvclstore.z8.web.core.windows.net/WA/10TJD001.zip
wa,11SAVD003,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/11SAVD003,120.8221689,-24.15332243,191,564.7,https://nvclstore.z8.web.core.windows.net/WA/11SAVD003.zip
wa,12AMD0015,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/12AMD0015,122.1757204,-20.75791886,183,467.2,
wa,12CADD002,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/12CADD002,116.6208138,-31.03193226,48,159.8,
wa,12DHDD0001,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/12DHDD0001,123.8758352,-28.01851127,100,334.5,
wa,14AMD0043,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/14AMD0043,122.1751566,-20.75737404,356,210.6,
wa,15BRDD001,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/15BRDD001,118.7720394,-25.7386684,8505,462.5,https://nvclstore.z8.web.core.windows.net/WA/15BRDD001.zip
wa,15EIS001_wedge,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/15EIS001,123.8593622,-27.97755626,272,318.6,https://nvclstore.z8.web.core.windows.net/WA/15EIS001.zip
wa,15SYDD0003B,http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/15SYDD0003B,123.8971889,-28.5823982,251,452.2,https://nvclstore.z8.web.core.windows.net/WA/15SYDD0003B.zip
