BoreholeURI,x,y,BoreholeName,State,Length,TsgLink
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/COAL_027746,149.239184,-32.034247,Cobbora: DM COBBORA DDH113,nsw,230,https://nvclstore.z8.web.core.windows.net/NSW/DDH113.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/COAL_046005,150.787513,-32.42275739,Jerrys Plains Hot Rocks: PPHR1,nsw,1947,https://nvclstore.z8.web.core.windows.net/NSW/PPHR1.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000013,142.6455151,-30.95996505,Big Wertago Mine - Koonenberry: DD3,nsw,141.1,https://nvclstore.z8.web.core.windows.net/NSW/DD3.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000180,142.7143713,-31.30250458,Grasmere - Koonenberry: DD90GR07,nsw,257,https://nvclstore.z8.web.core.windows.net/NSW/DD90GR07.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000182,142.7156133,-31.30205499,Grasmere - Koonenberry: DD90GR09,nsw,210.9,https://nvclstore.z8.web.core.windows.net/NSW/DD90GR09.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000206,142.3804984,-31.89333897,Scopes Range Pb/Zn - Dolo Hills: DD92DL22,nsw,145,https://nvclstore.z8.web.core.windows.net/NSW/DD92DL22.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000207,142.3793455,-31.89401903,Scopes Range Pb/Zn - Dolo Hills: DD92DL23,nsw,142,https://nvclstore.z8.web.core.windows.net/NSW/DD92DL23.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000539,141.0913111,-31.07878088,Glenmore - Broken Hill: GLENMORE1,nsw,76.8,https://nvclstore.z8.web.core.windows.net/NSW/GLENMORE1.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000610,141.0844985,-31.23429672,Mcdougals Well: BU-1,nsw,150,https://nvclstore.z8.web.core.windows.net/NSW/BU-1.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000611,141.0847027,-31.26306149,Mcdougals Well: BU-2,nsw,152,https://nvclstore.z8.web.core.windows.net/NSW/BU-2.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000612,141.085136,-31.30111045,Mcdougals Well: BU-3,nsw,152,https://nvclstore.z8.web.core.windows.net/NSW/BU-3.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000613,141.085992,-31.37579108,Mcdougals Well: BU-4,nsw,152,https://nvclstore.z8.web.core.windows.net/NSW/BU-4.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000614,141.044926,-31.37612788,Mcdougals Well: BU-5,nsw,152,https://nvclstore.z8.web.core.windows.net/NSW/BU-5.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000615,141.0038699,-31.37645149,Mcdougals Well: BU-6,nsw,152,https://nvclstore.z8.web.core.windows.net/NSW/BU-6_1_tsgtray.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000616,141.0030787,-31.30159888,Mcdougals Well: BU-7,nsw,152,https://nvclstore.z8.web.core.windows.net/NSW/BU-7.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000617,141.0445086,-31.33825971,Mcdougals Well: BU-8,nsw,176,https://nvclstore.z8.web.core.windows.net/NSW/BU-8.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000618,141.1266449,-31.34197636,Mcdougals Well: BU-9,nsw,152,https://nvclstore.z8.web.core.windows.net/NSW/BU-9.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000619,141.043696,-31.26339782,Mcdougals Well: BU-10,nsw,120,https://nvclstore.z8.web.core.windows.net/NSW/BU-10.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000620,141.1257326,-31.26465198,Mcdougals Well: BU-11,nsw,136,https://nvclstore.z8.web.core.windows.net/NSW/BU-11.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000621,141.1253304,-31.23056398,Mcdougals Well: BU-12,nsw,128,https://nvclstore.z8.web.core.windows.net/NSW/BU-12.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000622,141.0433452,-31.23125846,Mcdougals Well: BU-13,nsw,120,https://nvclstore.z8.web.core.windows.net/NSW/BU-13.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000623,141.0023413,-31.23149142,Mcdougals Well: BU-14,nsw,120,https://nvclstore.z8.web.core.windows.net/NSW/BU-14.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000624,141.0429732,-31.19787379,Mcdougals Well: BU-15,nsw,220,https://nvclstore.z8.web.core.windows.net/NSW/BU-15.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000625,141.091038,-31.19888634,Mcdougals Well: BU-16,nsw,120,https://nvclstore.z8.web.core.windows.net/NSW/BU-16.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000626,141.1249404,-31.19745027,Mcdougals Well: BU-17,nsw,120,https://nvclstore.z8.web.core.windows.net/NSW/BU-17.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000627,141.1244915,-31.15922943,Mcdougals Well: BU-18,nsw,120,https://nvclstore.z8.web.core.windows.net/NSW/BU-18.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000628,141.0838031,-31.16008348,Mcdougals Well: BU-19,nsw,211,https://nvclstore.z8.web.core.windows.net/NSW/BU-19.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000629,141.0421744,-31.12442688,Mcdougals Well: BU-20,nsw,120,https://nvclstore.z8.web.core.windows.net/NSW/BU-20.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000630,141.0827006,-31.08691646,Mcdougals Well: BU-21,nsw,120,https://nvclstore.z8.web.core.windows.net/NSW/BU-21.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000631,141.0015946,-31.16006584,Mcdougals Well: BU-22,nsw,120,https://nvclstore.z8.web.core.windows.net/NSW/BU-22.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000821,141.9506206,-31.97046281,Wahratta: CP2,nsw,816.5,https://nvclstore.z8.web.core.windows.net/NSW/CP2.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_000822,141.9753764,-32.35786305,Willeila: CP3,nsw,400,https://nvclstore.z8.web.core.windows.net/NSW/CP3.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001002,141.5341218,-31.74193999,Rise And Shine Mine: DDHRS-2,nsw,343.6,https://nvclstore.z8.web.core.windows.net/NSW/DDHRS-2.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001032,141.4605317,-31.8473332,Stephen Trig South: DDHTS-3,nsw,228,https://nvclstore.z8.web.core.windows.net/NSW/DDHTS-3.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001205,141.0873941,-30.66582903,Cone - Tindara: TD9203,nsw,378.1,https://nvclstore.z8.web.core.windows.net/NSW/TD9204.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001210,141.0049327,-30.75427172,Wild Dog - Tindara: TD9207,nsw,186,
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001212,141.0318733,-30.48053316,Starvation - Tindara: TD9209,nsw,256,https://nvclstore.z8.web.core.windows.net/NSW/TD9209.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001213,141.319865,-30.88819861,Teilta - Tindara: TD9210,nsw,86,https://nvclstore.z8.web.core.windows.net/NSW/TD9210.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001467,141.3190654,-31.61174811,Diamond Jubilee: DD81MR1,nsw,177.7,https://nvclstore.z8.web.core.windows.net/NSW/DD81MR1.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001474,141.3518021,-31.67663118,Black Prince: PD82MR8,nsw,254.9,https://nvclstore.z8.web.core.windows.net/NSW/PD82MR8.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001505,141.5413485,-31.65707208,Yanco Glen North: DD80YG1,nsw,172.4,https://nvclstore.z8.web.core.windows.net/NSW/DD80YG1.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001506,141.5413696,-31.65707199,Yanco Glen North: DD80YG1A,nsw,479.5,https://nvclstore.z8.web.core.windows.net/NSW/DD80YG1A.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001539,141.6730491,-31.6241316,Gairdners Creek - Tuckwells Lode: DD81GC4,nsw,220.5,https://nvclstore.z8.web.core.windows.net/NSW/DD81GC4.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001544,141.1944823,-31.88965474,Silverton: PD83SL1,nsw,348.1,https://nvclstore.z8.web.core.windows.net/NSW/PD83SL1.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001549,141.4473199,-31.93475674,Naradin: PD83ND1A,nsw,344.5,https://nvclstore.z8.web.core.windows.net/NSW/PD83ND1A.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001574,141.0465441,-31.6930953,Polygonum - Woolshed: RD84P04,nsw,240,https://nvclstore.z8.web.core.windows.net/NSW/RD84P04.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001576,141.0413655,-31.67452929,Polygonum - Woolshed: RD85P06,nsw,713,https://nvclstore.z8.web.core.windows.net/NSW/RD85P06.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001580,141.1521436,-31.67092655,Polygonum - Black Gate: RD86P010,nsw,470,https://nvclstore.z8.web.core.windows.net/NSW/RD86P010.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001587,141.0942523,-31.67486205,Polygonum - The Traverses: RD86P016,nsw,1245,https://nvclstore.z8.web.core.windows.net/NSW/RD86P016.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_001619,141.1390027,-32.05356382,Thackaringa: DD95TH02,nsw,200,https://nvclstore.z8.web.core.windows.net/NSW/DD95TH02.zip
